textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
bfc765c407,I think I might have to break down and purchase some from the US just because I donot know what to call it over here,I think I might have to break down and purchase some from the US just because I donot know what to call it over here,neutral,night,70-100,Chile,19116201,743532.0,26
5430711939, I sawn it three times,I sawn it three times,neutral,morning,0-20,Burundi,11890784,25680.0,463
35720a5a52,Seeing lots of my FB friends are friending or becoming fans of Zoozoo (Voda`s new face after the pug). Even iLike,Seeing lots of my FB friends are friending or becoming fans of Zoozoo (Voda`s new face after the pug). Even iLike,neutral,morning,0-20,Eritrea,3546421,101000.0,35
14f5671d0a,Studying for my exams....boring,boring,negative,noon,21-30,Paraguay,7132538,397300.0,18
144894307,OFF TOPIC: missed both motorcades. The secret service tricked us all.  #bush #clinton,OFF TOPIC: missed both motorcades. The secret service tricked us all.  #bush #clinton,neutral,night,70-100,Slovenia,2078938,20140.0,103
4c55774540, Oh ****. That really sucks,really sucks,negative,night,31-45,Slovenia,2078938,20140.0,103
388e74963c, - thank you - I take that as a compliment if I may -,#NAME?,positive,night,31-45,South Africa,59308690,1213090.0,49
137748f144,BIG NEWS?! But I don`t know if I can share it.,BIG NEWS?! But I don`t know if I can share it.,neutral,morning,0-20,Jamaica,2961167,10830.0,273
d423fe1be8,Computer is packed away. There goes my life. Right into a cardboard box.,There goes my life. Right into a cardboard box.,negative,morning,0-20,Turkmenistan,6031200,469930.0,13
d1080ffd8d,  amason seems to think hamburger a-go-gos don`t get it till october! well now....,amason seems to think hamburger a-go-gos don`t get it till october! well now....,neutral,noon,60-70,Japan,126476461,364555.0,347
79d3d5536c,"This is the best E-commerce site, I hope you`ve watched the big bang theory. http://www.pennyblossoms.com/ Please hit 'buy now'",hope,positive,noon,60-70,Saudi Arabia,34813871,2149690.0,16
490cb7f754, i just drove past your hotel  wish u was ere. I`m thinking a december trip for a real white xmas!!,wish u was ere.,positive,morning,0-20,Solomon Islands,686884,28000.0,25
413195db27,Is wondering what happened to the sun? **** May grey!,****,negative,noon,21-30,Belgium,11589623,30280.0,383
62fd432da8," ITS A BANK HOLIDAY STUPID!! wait, they don`t have bank holidays in America... Okay keep on celebreting",Okay keep on celebreting,positive,night,70-100,Tonga,105695,720.0,147
93e83d241f, nope not really only a sweatshirt.  oh and these really really awesome doughnuts haha,nope not really only a sweatshirt.  oh and these really really awesome doughnuts haha,positive,night,31-45,Panama,4314767,74340.0,58
1832e988d7,_carter  we can`t see the video it`s private,_carter  we can`t see the video it`s private,neutral,night,70-100,San Marino,33931,60.0,566
4f4c4fc327," I`ve wondered about rake to.  The client has made it clear .NET only, don`t force devs to learn a new lang  #agile #ccnet",", don`t force",negative,morning,46-60,Greece,10423054,128900.0,81
924e27aeda," Oh, amazing  I have two too and I need to have the third (yn)","Oh, amazing",positive,morning,46-60,New Zealand,4822233,263310.0,18
a985970c29, I was going to send you the photo by DM but can`t as you not following me...,I was going to send you the photo by DM but can`t as you not following me...,neutral,morning,46-60,Cuba,11326616,106440.0,106
8c37fb6d50,"Morning everyone! Going to a gig now, then a run. Update you all later","Morning everyone! Going to a gig now, then a run. Update you all later",neutral,noon,21-30,Saudi Arabia,34813871,2149690.0,16
9f7dbce69d,"_d I can`t view anything, Gerald. Not only am I banned, I can`t even read the **** place.","Not only am I banned,",negative,noon,21-30,Holy See,801,0.0,2003
55d54a15d7," Hey, TDukes! I flwd U immediately this morn.when DHmptn mentioned the bit abt the tattoo. LOVE her,she`s my #1Fav. twitterer","LOVE her,she`s my",positive,noon,60-70,Sudan,43849260,1765048.0,25
da48252d73,happy mothers day,happy mo,positive,noon,60-70,Costa Rica,5094118,51060.0,100
da9dec497a, I love you too baby  see i`m cool now!!!,love,positive,morning,0-20,Haiti,11402528,27560.0,414
68695df983, It means 'luv ya' in Zulu/Xhosa. Probably spelt it wrong lol. Can`t b creative 2day ...tired  so translated,. Probably spelt it wrong lol.,neutral,noon,21-30,Kyrgyzstan,6524195,191800.0,34
054d5c4400, You`re cycling tho` that`s good. Healthy eating  Healthy and eating are a contradiction in terms.,You`re cycling tho` that`s good. Healthy eating  Healthy and eating are a contradiction in terms.,positive,night,31-45,Bolivia,11673021,1083300.0,11
6d54f86e09,lol thats the highlight,thats the highlight,positive,noon,21-30,Cyprus,1207359,9240.0,131
664c391020, phone updated and she`s got a camcorder on her phone now--mine hasn`t updated chit  that ain`t fair .,phone updated and she`s got a camcorder on her phone now--mine hasn`t updated chit  that ain`t fair .,neutral,noon,21-30,Somalia,15893222,627340.0,25
f6ec0aee02,Applying for part time jobs.  LMAO Hopefully someone needs some help. ~AP~,Hopefully,positive,night,70-100,Portugal,10196709,91590.0,111
8d4e4f5d07,_E Aw. well im sorry you don`t like July for those reasons,sorry,negative,noon,21-30,Chad,16425864,1259200.0,13
687037af5c, ooops! the last link is the same as the first! sry my mistake,ooops!,negative,morning,0-20,Mauritania,4649658,1030700.0,5
bbc3fa38d6,downloading the right/real speedracher now.,downloading the right/real speedracher now.,neutral,night,31-45,North Macedonia,2083374,25220.0,83
aad6c17634,i didnt get a hug today,i didnt get a hug today,neutral,morning,0-20,Central African Republic,4829767,622980.0,8
5bf9b58591," carls jr sounds hella good, you should bring me some  http://myloc.me/G3o","hella good,",positive,noon,60-70,Bhutan,771608,38100.0,20
010ae1aad0,Good morning/afternoon/night to all.....studying as usual!,Good morning/afternoon/night to all.....studying as usual!,neutral,noon,21-30,Dominican Republic,10847910,48300.0,225
c9d53a9127,Finally got all 7 overdue books out of the little room and into my now overstuffed back pack!,Finally got all 7 overdue books out of the little room and into my now overstuffed back pack!,neutral,night,70-100,Ecuador,17643054,248360.0,71
c4680cbabe,mattress armada needs to play a show soon or i`m going to be seriously sad,sad,negative,night,31-45,Suriname,586632,156000.0,4
a514c68ad4,Waiting for Raimi`s new horror flick Drag Me To Hell. I`m really excited for this! Too bad it`s not in #amcmain in KC,Waiting for Raimi`s new horror flick Drag Me To Hell. I`m really excited for this! Too bad it`s not in #amcmain in KC,neutral,night,70-100,Bolivia,11673021,1083300.0,11
4cbfc6a9fa,thinking about new.. oh yes .. btw bankroll stays at $14.88.. so down a bit from yesterday.. and I won`t whine about bad beats  ..,I won`t whine about bad beats  ..,positive,noon,60-70,North Korea,25778816,120410.0,214
873e668560," Ha-ha abbreviate it , so it`s not so bulky",bulky,negative,night,70-100,Saint Lucia,183627,610.0,301
672605177c,"watching a boring police prog after making a fab pasta dinner, trying to cut down on alcohol so only had water",boring,negative,morning,46-60,United States of America,331002651,9147420.0,36
1274c501a6, I wish I could...but I`m @ work when she`s on...,wish,positive,morning,0-20,Central African Republic,4829767,622980.0,8
cb94d59699,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   <3",I really hope so,positive,morning,46-60,Argentina,45195774,2736690.0,17
c6dc225377, it is sooo hard.... truck and fish please,hard.,negative,night,31-45,Portugal,10196709,91590.0,111
091e84bfcb,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,horrible,negative,night,31-45,Monaco,39242,1.0,26337
25fd777a9c,"Had a Great weekend!! and is in such a good mood, she doesn`t even mind being at work this morning!","Had a Great weekend!! and is in such a good mood,",positive,morning,0-20,Serbia,8737371,87460.0,100
0e7ed1c470,Just broke her dresser shes had since she was three,broke,negative,noon,60-70,Slovakia,5459642,48088.0,114
175ba4ef80,   I`m a Metsies fan also! Boo Hoo,ies fan also! Boo Ho,positive,morning,0-20,Mongolia,3278290,1553560.0,2
61246b4a53,I`m emailing my best friend Deanna with my yahoo account. Emailing is FUN.  <3,FUN.,positive,night,31-45,Italy,60461826,294140.0,206
0025cd3554,Might be in the middle of a perfect weekend...,perfect,positive,night,31-45,Lesotho,2142249,30360.0,71
09337c0407,"Happy Mother`s Day!!!  I`m at the beach with my family. It`s a warm, clear night with a beautiful full moon...",Happy Mother`s Day!!,positive,night,31-45,Peru,32971854,1280000.0,26
e4437a4444, I`m in belleville at my parents and someone offered me a bus ride to orillia for 10$ at the mall. Thought of you,offered,positive,morning,46-60,Georgia,3989167,69490.0,57
42df3695a8,"Ppl who smoke pot, are so f . . .n stupid. An instant turn off. drugs in general. why? seriously! ! ! why?","Ppl who smoke pot, are so f . . .n stupid. An instant turn off.",negative,night,70-100,North Macedonia,2083374,25220.0,83
e6ce5c4ef7,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out,neutral,night,70-100,Thailand,69799978,510890.0,137
57eeab2353, ask mark if he still has that old blink sense of humor!! i miss it,miss,negative,noon,60-70,Bulgaria,6948445,108560.0,64
bd90bf83dd,__Hell beeeeaaaaatooooo!!!!!,__Hell beeeeaaaaatooooo!!!!!,neutral,morning,0-20,Rwanda,12952218,24670.0,525
42e305ec17," Yeah, that lying in bed thing`s a bugger for blocking creativity  Worse if you`re pinned down by a pet cat, apparently...","Yeah, that lying in bed thing`s a bugger for blocking creativity  Worse if you`re pinned down by a pet cat, apparently...",negative,morning,46-60,Ukraine,43733762,579320.0,75
a9b2f78037,I had a great time at the surprise party! We got him good!,great time,positive,noon,21-30,Denmark,5792202,42430.0,137
25fb91083f,in accounting class ; then detention after,in accounting class ; then detention after,neutral,noon,60-70,Belgium,11589623,30280.0,383
8e837418dd, I like the sound of a love breeze...sounds beautiful! Love the wind on my face,love,positive,morning,46-60,Cuba,11326616,106440.0,106
b61100970d,"being lazy the rain does that to me  gym&&tanning is possibe, work && a small social gathering around tha corner","being lazy the rain does that to me  gym&&tanning is possibe, work && a small social gathering around tha corner",neutral,night,31-45,Vietnam,97338579,310070.0,314
b0658f9706,Not babysitting tonight. I miss that kid.,miss,negative,night,70-100,Peru,32971854,1280000.0,26
8d9d42991a,wishing i had marvelous misadventures of flap jack on DVD,wishing i had marvelous misadventures of flap jack on DVD,neutral,morning,0-20,Jamaica,2961167,10830.0,273
862db3451f,I don`t feel good,I don`t feel good,negative,noon,21-30,Japan,126476461,364555.0,347
2a5d5cb72a, have a Happy Trip!!,Happy,positive,morning,0-20,Mauritania,4649658,1030700.0,5
fe4e8393d5,is going to see the Hannah Montana movie!!...lol...what a dork huh?!,is going to see the Hannah Montana movie!!...lol...what a dork huh?!,neutral,morning,46-60,Benin,12123200,112760.0,108
8ba6888838,i miss her ..... i hope she comes back,i hope she comes back,positive,night,31-45,Madagascar,27691018,581795.0,48
f25996c236,**** QW,**** QW,negative,night,31-45,Suriname,586632,156000.0,4
4015996115, aww that is sad,aww that is sad,negative,night,70-100,Peru,32971854,1280000.0,26
9045dddd33,  i`m sorry to hear that,i`m sorry to hear that,negative,morning,46-60,Benin,12123200,112760.0,108
08005e1d8a,OUCH!!!!!!!!!!!!!!!.........that really hurt!!!,that really hurt!!!,negative,night,70-100,Cabo Verde,555987,4030.0,138
c399097cad,night night twits! im so glad I will be waking up to a saturday off work!! printer has broke though,im so glad I will be waking up to a saturday off work!! printer has broke though,neutral,night,31-45,Panama,4314767,74340.0,58
bd21593428,but now i have no money for a phone,i have no money,negative,morning,46-60,Yemen,29825964,527970.0,56
1ef5ffb626,Now only with Windows 7,Now only with Windows 7,neutral,noon,21-30,Iran,83992949,1630000.0,52
67925851a7, yay i found u!! i had a great time tonight!,i had a great time tonight!,positive,morning,0-20,France,65273511,547557.0,119
defcdff970,13 hours til i`m on a plane. Ahhh yay,Ahhh yay,positive,night,31-45,Gambia,2416668,10120.0,239
e84447e448, The creeping charlie is what happens when I neglect the yard for the whole spring!  Thanks- &  would LOVE to see yr dogs!,creeping charlie is what happens when I neglect the yard for the whole spring!  Thanks- &  would LOVE to see yr dogs,neutral,night,70-100,Czechia (Czech Republic),10708981,77240.0,139
668b11d461,wants to go to walmart. but won`t go alone,wants to go to walmart. but won`t go alone,neutral,night,31-45,Mexico,128932753,1943950.0,66
9ff9a80b63,Loves Agustin and his happy morning moods,Loves,positive,noon,60-70,Colombia,50882891,1109500.0,46
40092f412f,Ha ha ha  I know! Love it! Love him!,Love it! Love him!,positive,night,31-45,Belize,397628,22810.0,17
3d03953cdb, I know right...,I know right...,neutral,noon,21-30,Venezuela,28435940,882050.0,32
20bf40e9ad,http://twitpic.com/4jalj - Morning world. #healthyliving update. Weight this morning 82.1kg (12st 12lbs) Going in right direction,right direction,positive,night,31-45,Russia,145934462,16376870.0,9
3f54f9549f,Ichigo has been good at Ping&pooping outside but not used to the fact he doesn`t have his sister  lonely puppy,lonely,negative,noon,60-70,Saint Kitts and Nevis,53199,260.0,205
3f01ef6585,"Don`t have time to chat (sorry girls  Miss y`all!), but we have a new lawnmower... yeah, that was today`s highlight. Tomorrow is...","Don`t have time to chat (sorry girls  Miss y`all!), but we have a new lawnmower... yeah, that was today`s highlight. Tomorrow is...",neutral,night,70-100,Uganda,45741007,199810.0,229
de3833a81d,Today is lame because I am not in Orlando  I am soooo looking forward to NEXT friday,lame,negative,night,31-45,Morocco,36910560,446300.0,83
c0c213673f,"Today is just not my day. I can`t seem to feel any better. If i dont eat, im hungry. If i do eat, i feel like im gonna be sick. Blah",Today is just not my day.,negative,noon,60-70,Guinea-Bissau,1968001,28120.0,70
6f4dd292ef,i hate history coursework sooo much,i hate hi,negative,noon,21-30,Albania,2877797,27400.0,105
7a59c602a8,"Having indian food in the middle of Wales, very very typical, huh?","Having indian food in the middle of Wales, very very typical, huh?",neutral,night,31-45,Niger,24206644,1266700.0,19
1714a94a21,Well goodnight all my twitter bugs sleep well,Well goodnight all my twitter bugs sleep well,positive,night,70-100,Thailand,69799978,510890.0,137
d63253be9a, WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!,WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!,neutral,morning,46-60,Vanuatu,307145,12200.0,25
770d50b0c4,getting ready for the dayyyyyyyyyyyy. i hope work goes good!,i hope work goes good!,positive,morning,46-60,Austria,9006398,82400.0,109
4841c80d3c,About to go to my last theater lunch  im gonna cry.,About to go to my last theater lunch  im gonna cry.,negative,night,70-100,San Marino,33931,60.0,566
fe0dc960ea,mum just made me cry coz she said something so sweet to me  i love her so much! MUMS ARE THE BEST!,mum just made me cry coz she said something so sweet to me  i love her so much! MUMS ARE THE BEST!,positive,morning,46-60,Bosnia and Herzegovina,3280819,51000.0,64
bc9ace994f,"_bandoni Ok, see you at da climbing","_bandoni Ok, see you at da climbing",neutral,night,70-100,Lesotho,2142249,30360.0,71
